store_name,address,Latitude,Longitude,district,district_en
사위식당,서울 마포구 공덕동 467,37.544931,126.9505963,마포구,mapo_gu
두찜광진중곡점,서울 광진구 중곡동 30-80,37.5649376,127.0845873,광진구,gwangjin_gu
소풍가는날,서울 마포구 합정동 411-13,37.5481698,126.9180449,마포구,mapo_gu
봉피양마포,서울 마포구 용강동 50-3,37.5400093,126.942765,마포구,mapo_gu
골드김밥마포점,서울 마포구 상수동 324-7,37.547588,126.9224746,마포구,mapo_gu
봉추찜닭 숙대점,서울 용산구 청파동3가 26-15,37.5442305,126.9698042,용산구,yongsan_gu
황금소,서울 용산구 용문동 18-15,37.5363629,126.9614238,용산구,yongsan_gu
아구듬뿍알곤마니,서울 관악구 봉천동 1566-3,37.4792989,126.9475074,관악구,gwanak_gu
피슈 마라 홍탕 마포역점,서울 마포구 도화동 201-42,37.5395887,126.9477491,마포구,mapo_gu
솔트앤스낵신림점,서울 관악구 신림동 1630-2,37.4792341,126.9283595,관악구,gwanak_gu
미미마라탕,서울 서초구 반포동 18-4,37.5030753,126.9956677,서초구,seocho_gu
소문난 순대국,서울 관악구 신림동 1587-34,37.4817977,126.9282267,관악구,gwanak_gu
황금족발보쌈,서울 동작구 사당동 224-52,37.4848295,126.9688634,동작구,dongjak_gu
양촌떡갈비,서울 관악구 신림동 1592-1,37.482844,126.926527,관악구,gwanak_gu
너구리전집,서울 관악구 신림동 1587-33,37.4818663,126.9281353,관악구,gwanak_gu
신원시장 고려왕족발,서울 관악구 신림동 1600-2,37.4819326,126.9277619,관악구,gwanak_gu
전라도호남댁 헝아네,서울 관악구 신림동 1640-38,37.4833239,126.9290466,관악구,gwanak_gu
국민낙곱새 송파점,서울 송파구 가락동 130,37.4942105,127.1255319,송파구,songpa_gu
양지88순대,서울 관악구 신림동 1640-38,37.4833239,126.9290466,관악구,gwanak_gu
마라탕입구,서울 관악구 신림동 1639-19,37.4837816,126.9278583,관악구,gwanak_gu
유진감자탕,서울 서대문구 홍제동 253-12,37.5887574,126.9448088,서대문구,seodaemun_gu
두마리찜닭 두찜 보라매점,서울 관악구 봉천동 708-2,37.4915313,126.9279052,관악구,gwanak_gu
알찬제육봉천신림점,서울 관악구 봉천동 957-32,37.4855126,126.9375131,관악구,gwanak_gu
